,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
35,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,crupper,a1,arg122612,arg140737,arg122612_arg140737,rr,5f26641b9519f9f1ec07d26d10303c,-1
36,Yeet,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg140763,arg122612,arg140763_arg122612,rr,c3e34255db38f7acef1465133a644b,1
37,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,MKAM,a1,arg122612,arg140990,arg122612_arg140990,rr,005762fb8b37afea2793f142f145ac,-1
38,Gap genes,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg141074,arg122612,arg141074_arg122612,rr,1e72e780333201b4cc5375b0cddef7,1
39,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,remeber,a1,arg122612,arg141172,arg122612_arg141172,wr,825211c8efc74825daf62ea343070c,-1
40,guess,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg141278,arg122612,arg141278_arg122612,rr,d49aaa9e4a8695e1e981baac26087e,1
41,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,only gap gene shown,a1,arg122612,arg141301,arg122612_arg141301,rr,6e17452d6e1933040e0e1ec5bcaf77,-1
42,anterior,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg141446,arg122612,arg141446_arg122612,wr,b5030b000ddd32c9d3e906ce6bac5f,1
43,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,"bicoid and nanos are maternally loaded-- A-P
kruppel is a gap gene and so it is broad subdomain",a1,arg122612,arg141495,arg122612_arg141495,wr,bbead66683ce95b09c1f405afe145e,-1
44,no idea,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg141606,arg122612,arg141606_arg122612,rr,b5a890f6a8b02d602063bea4db113d,1
45,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,jvjv,a1,arg122612,arg141703,arg122612_arg141703,wr,cc092e8e650d7143dbedb338647552,-1
46,central,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg141765,arg122612,arg141765_arg122612,wr,87d12d8bf0b77679a64968d62c01a7,1
47,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,kruppel is a gap gene,a1,arg122612,arg141768,arg122612_arg141768,rr,708754cef412a0e37feac91458b8fc,-1
48,GAP genes?,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg142188,arg122612,arg142188_arg122612,rr,1c50098a7e064131283236308ce026,1
49,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,kruppel is a gap gene coding the region found in the middle of the Drosophila's body.,a1,arg122612,arg142195,arg122612_arg142195,rr,fd04ea612fcb5f4763bfb1fa03fc0a,-1
50,grafe,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg142217,arg122612,arg142217_arg122612,wr,0d4f219b69a784ccd808051eac7845,1
51,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,because,a1,arg122612,arg142537,arg122612_arg142537,rr,268002bfc7fcb28d6bdc37f9256674,-1
52,"kjkp,o
ôkm ,ç",Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg142593,arg122612,arg142593_arg122612,rr,641133118563edec9ae84cb7440621,1
53,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,central --> Gap genes,a1,arg122612,arg142616,arg122612_arg142616,wr,b5a949aad25b1f2fec10fe1467de13,-1
54,i thikn akfshdkljhdf,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg142822,arg122612,arg142822_arg122612,rr,49b5f9bd9d5dc869acaf08935a080e,1
55,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,bicoid protein directs formation of anterior segments like the head and part of the thorax.,a1,arg122612,arg153847,arg122612_arg153847,wr,824b9f3213e446743a4f906e4c7219,-1
56,unsure,Kruppel is expressed in the middle segment of Drosophila embryos; inactivating Kruppel could conceivably produce this phenotype,a2,arg154004,arg122612,arg154004_arg122612,wr,ef7cec2ad22c937d06e4c5920d954d,1
57,"Kruppel is one of the GAP genes that, when mutated, lose several consecutive segments.",um idk,a1,arg136741,arg136812,arg136741_arg136812,wr,66d0678f6079587d5b890c326785b4,-1
58,GAP transcription factor,"Kruppel is one of the GAP genes that, when mutated, lose several consecutive segments.",a2,arg136998,arg136741,arg136998_arg136741,rr,1ecf0b821c364abdbd7b417b940022,1
59,"Kruppel is one of the GAP genes that, when mutated, lose several consecutive segments.",kruppel is gap gene responsible for determining central segements in Drosophila,a1,arg136741,arg137273,arg136741_arg137273,rr,ee7b40f08ecc3e6ceca31a6f6b2a5d,-1
60,....,"Kruppel is one of the GAP genes that, when mutated, lose several consecutive segments.",a2,arg138188,arg136741,arg138188_arg136741,rr,144fb01384ca2140141afe7561a460,1
61,"Kruppel is one of the GAP genes that, when mutated, lose several consecutive segments.",I HAVE NO IDEA,a1,arg136741,arg140752,arg136741_arg140752,rr,9008d1eb1761199bc25f860bd6042e,-1
