,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
21,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",RHR 2,a1,arg49950,arg113647,arg49950_arg113647,rr,77e041b1d123dfb4c2770dc7d4cc21,-1
22,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113658,arg49950,arg113658_arg49950,rr,d4a85da71955c4ce81b5f7a18f2b82,1
23,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule,a1,arg49950,arg113663,arg49950_arg113663,rr,c2846914e3ca3e2575937468b3790b,-1
24,According to right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113670,arg49950,arg113670_arg49950,rr,8395773f45d7ef631e74a152a7e8d1,1
25,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",rule,a1,arg49950,arg113692,arg49950_arg113692,rr,a0cd456c0cddb1953373e34c169a1d,-1
26,Rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113701,arg49950,arg113701_arg49950,rr,73be3085ed91bbb171c015ceaad965,1
27,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",rhr #1,a1,arg49950,arg113783,arg49950_arg113783,rr,e6f9a98ac9108f15c77c6a2ec2153f,-1
28,the case,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113785,arg49950,arg113785_arg49950,rr,7d74aafc6f4143740a99ce570485df,1
29,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule,a1,arg49950,arg113811,arg49950_arg113811,rr,27dbf9b08846ea5211410ff653cb71,-1
30,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg113838,arg49950,arg113838_arg49950,rr,c33171bec06d038b55d524268f2173,1
31,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",the magnetic force is into the screen,a1,arg49950,arg114042,arg49950_arg114042,rr,be4c9bfbb9ec07e05df9632c5f9c8b,-1
32,"Outside of the magnet, the field lines will go from the north to the south pole, so that the magnetic field will diverge from N and converge towards S. Therefore, the compass at point P will be pointing towards the south pole of the magnet, so to the bottom right.","Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114118,arg49950,arg114118_arg49950,rr,f596399700b4a3fa515da9ac151d35,1
33,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",used right hand rule,a1,arg49950,arg114136,arg49950_arg114136,rr,30135b27b827ccdb5ebe6eafb2b1d1,-1
34,LHR that force into screen,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114161,arg49950,arg114161_arg49950,rr,31a56220550c74e9f5f98adf666e0f,1
35,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",?????,a1,arg49950,arg114169,arg49950_arg114169,rr,c4f1f13a7bdbe82ea03277a5342944,-1
36,into the screen,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114187,arg49950,arg114187_arg49950,rr,dad2c25d5d79bfed294e8a2a49458c,1
37,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",.......,a1,arg49950,arg114208,arg49950_arg114208,rr,6d155df2cb70063c57503caca8b601,-1
38,hhhh,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114220,arg49950,arg114220_arg49950,rr,1d38b5c47c127a9b83ecc454f4cf55,1
39,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",left hand,a1,arg49950,arg114242,arg49950_arg114242,rr,80cb0109279369a2bf8b830e92ae7b,-1
40,use left hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114260,arg49950,arg114260_arg49950,rr,ef19782cf9333eb6a5a608a66790e2,1
41,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",using RHR #2,a1,arg49950,arg114336,arg49950_arg114336,rr,9b1735e31d2ce63d5c10c4597c9daa,-1
42,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114387,arg49950,arg114387_arg49950,rr,9942e92b5cb039f42b5fbc4c5ea502,1
43,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg114459,arg49950_arg114459,rr,f906081ec90b99ecccceeb9eaf3715,-1
44,right hand thumb rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114491,arg49950,arg114491_arg49950,rr,dbf6122033710a7ebd143167473674,1
45,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",into,a1,arg49950,arg114538,arg49950_arg114538,rr,2f61edaf577726dc325fd6ea829abd,-1
46,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114542,arg49950,arg114542_arg49950,rr,03e8f43f9f6ae3a6abd4c7513f02e8,1
47,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",I think so,a1,arg49950,arg114560,arg49950_arg114560,rr,5b965c4c4a214c00e25f6df4f97fd0,-1
48,use RHR2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114569,arg49950,arg114569_arg49950,rr,278852e2fb29e6dcc754cd673e1d85,1
49,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule,a1,arg49950,arg114652,arg49950_arg114652,rr,ff45f96045f2a6c09a64555d507dc9,-1
50,Magnetic right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114667,arg49950,arg114667_arg49950,rr,e28ba13c077cdc1b4d0e9069eec5be,1
51,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",According to the right hand rule.,a1,arg49950,arg114701,arg49950_arg114701,rr,02729dad98b5d98fa9e784a4af701f,-1
52,Second right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114713,arg49950,arg114713_arg49950,rr,1a91f81232778722fa77d9a510dfbe,1
53,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",left hand rule,a1,arg49950,arg114867,arg49950_arg114867,rr,5a4e248e3dbddc2c4553b28ad236ab,-1
54,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114872,arg49950,arg114872_arg49950,rr,fab821d5570fb19559ebed57bfa414,1
55,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ","2nd right hand rule. If thumb is the current and pointer is B, the force points towards the screen.",a1,arg49950,arg114910,arg49950_arg114910,rr,a84567e183f14bb6d1037ce969dd3e,-1
56,Using the hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114920,arg49950,arg114920_arg49950,wr,3628c47b39b066ae3a2562d019c701,1
57,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",hgjg jb,a1,arg49950,arg114948,arg49950_arg114948,rr,81dbab0990a118da5c3abaadc1f2d4,-1
58,hmmm according to the rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg114975,arg49950,arg114975_arg49950,rr,4291dc655a2e0724f018f03fc58a9b,1
59,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule.,a1,arg49950,arg115016,arg49950_arg115016,wr,bf9c688799bd0587f7eabab4295383,-1
60,same rule before,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115028,arg49950,arg115028_arg49950,rr,2712dfe59e3a387aa473f6269727f8,1
61,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115033,arg49950_arg115033,rr,06b0c8b7501e214ef3d3641b907956,-1
62,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115035,arg49950,arg115035_arg49950,rr,49ab6955e82103dceffcc20dbc3767,1
63,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",RHR 2,a1,arg49950,arg115053,arg49950_arg115053,rr,9c0c822100dfc0e658f25fb211d101,-1
64,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115065,arg49950,arg115065_arg49950,rr,0ad0f606e27040c505b9d65a3a8266,1
65,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule,a1,arg49950,arg115117,arg49950_arg115117,rr,5a3c3bba27fa8e6632e503a644e3c8,-1
66,because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115126,arg49950,arg115126_arg49950,rr,d06aa0c42a6cda530fd34d24ff1133,1
67,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",because,a1,arg49950,arg115127,arg49950_arg115127,rr,4937c56f883e58b135780d31a154b3,-1
68,by the thumb rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115145,arg49950,arg115145_arg49950,rr,818a9a04e5e57b2a102eefd364c138,1
69,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115152,arg49950_arg115152,rr,3ac67b187ca3ec12ebf3b9b5ebbabd,-1
70,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115172,arg49950,arg115172_arg49950,rr,3b82a24353e5767c6ea89a77bc0ebc,1
71,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115206,arg49950_arg115206,rr,e379742081d02af5821ff2fd25aff6,-1
72,Intuition,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115209,arg49950,arg115209_arg49950,rr,497412b999c900817683b7285d7645,1
73,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115238,arg49950_arg115238,rr,3194f2578df42d450f1bcb3ea27a05,-1
74,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115239,arg49950,arg115239_arg49950,rr,4391e1133825db02322d98b948e4c8,1
75,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",....,a1,arg49950,arg115243,arg49950_arg115243,rr,8385788f50a8ffbb278ca1937a534a,-1
76,it is into the screen because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115251,arg49950,arg115251_arg49950,rr,bbeb3f14c34b76b1cf04f7e272781e,1
77,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule again cause the current is your index finger pointingup,a1,arg49950,arg115283,arg49950_arg115283,rr,ccbaa05fff795c7bd6d364cf8a0664,-1
78,because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115339,arg49950,arg115339_arg49950,rr,1d51afbf16ce80b3358eb1d109adb5,1
79,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Rational,a1,arg49950,arg115342,arg49950_arg115342,rr,a9d47e5c45f9dd3d3f60ab0393cc1a,-1
80,jjjjjj,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115356,arg49950,arg115356_arg49950,rr,2f92e9f6cf3495a0e27b4a722cd64b,1
81,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",RHR2,a1,arg49950,arg115367,arg49950_arg115367,rr,ff1b06d75d58101cdba77016416450,-1
82,uhhh,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115378,arg49950,arg115378_arg49950,wr,4f317126c5644e93399653d41dce4a,1
83,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",because,a1,arg49950,arg115393,arg49950_arg115393,rr,249f30e9893974e82984cf832ad888,-1
84,rhr #2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115405,arg49950,arg115405_arg49950,rr,e829716b3b475d9dd33053afa9a76a,1
85,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",into the screen is the only possible answer,a1,arg49950,arg115409,arg49950_arg115409,rr,27ac0245b32a9ae66a87278f26f9a4,-1
86,just cuz,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115451,arg49950,arg115451_arg49950,rr,bd0b262eca690457b62142ff634b58,1
87,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115460,arg49950_arg115460,rr,6adbe8d921d8f3e95fbbc07577e933,-1
88,"Right hand rule with current, thumb up. Fingers point to right so force is in","Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115504,arg49950,arg115504_arg49950,rr,da5966d07d4dd27ec2bad6c3a608d6,1
89,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",into the screen,a1,arg49950,arg115509,arg49950_arg115509,rr,dcce40e21604b348f59ce5859131b4,-1
90,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115526,arg49950,arg115526_arg49950,rr,9592340124d9738f3ee091534e3fc8,1
91,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a right hand rule i think,a1,arg49950,arg115527,arg49950_arg115527,rr,152ac790f04772c1b97be5755480a6,-1
92,rhr method,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115565,arg49950,arg115565_arg49950,rr,31b2dacd0db9fe62862d534d9386a1,1
93,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Based on RHR 2,a1,arg49950,arg115585,arg49950_arg115585,rr,52a0801ec0b18861cc6df508f1b10b,-1
94,Full on guess,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115592,arg49950,arg115592_arg49950,rr,1e9e792cb523430f3506cc17542077,1
95,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",becayse,a1,arg49950,arg115604,arg49950_arg115604,rr,c3a3edf6af749f4fee51c9c3329624,-1
96,According to this weeks reading.,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115642,arg49950,arg115642_arg49950,rr,a01bfd3e6e4ea05425cfb21a91dd24,1
97,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115694,arg49950_arg115694,rr,2550f335403b6960ece49e5c45f5aa,-1
98,Imma smart jimmy neutron,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115706,arg49950,arg115706_arg49950,rr,5c6c8a1e94f13b689b808007adc0bb,1
99,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg115735,arg49950_arg115735,wr,5338a50b488890b4bf959de0611616,-1
100,Use the finger to point out,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115778,arg49950,arg115778_arg49950,rr,2b2213ba2e4022eb36f0785717ea9c,1
101,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",photo,a1,arg49950,arg115829,arg49950_arg115829,rr,019c73be3cc715d478bdd4c37d0d03,-1
102,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115854,arg49950,arg115854_arg49950,rr,d80e61dbd9483ab619bd31d7a97807,1
103,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",current,a1,arg49950,arg115863,arg49950_arg115863,rr,86f6d63d498df4e15f496a701ff8ec,-1
104,by rhr,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg115939,arg49950,arg115939_arg49950,rr,e10d9c9f623af957d3f9cdbe4ffbd4,1
105,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Magnetic field always points north to south,a1,arg49950,arg115940,arg49950_arg115940,rr,e46864c953d0b8e10a440d0c03c14b,-1
106,RHR2,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116008,arg49950,arg116008_arg49950,rr,0bfbcb4ca46aae369c7ad5697b8d9f,1
107,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Use right hand rule once more.,a1,arg49950,arg116029,arg49950_arg116029,rr,ef3da73f45e56dc4f85c77ab03bf43,-1
108,dvdfqwdsxZXc,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116049,arg49950,arg116049_arg49950,rr,759ec8d25e95a0fada373fe5b9f67f,1
109,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Using the right hand rule.,a1,arg49950,arg116059,arg49950_arg116059,rr,f28b2cf71b423d8525fde6128fbf1f,-1
110,into th screen,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116086,arg49950,arg116086_arg49950,rr,fe46d33262122502c12264562e75c9,1
111,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",No rationale,a1,arg49950,arg116123,arg49950_arg116123,rr,cfdcfa76215b45c716e8536f0bfbfc,-1
112,because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116134,arg49950,arg116134_arg49950,rr,7bd1fdd48992194a5dd94a135980c8,1
113,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",using RH rule,a1,arg49950,arg116148,arg49950_arg116148,rr,541a941a7024d1b4cdb8f29c54df47,-1
114,help me,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116169,arg49950,arg116169_arg49950,rr,aa80322984ed70d3309d61f1326d23,1
115,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Using the right hand rule and putting finger and curling them from I to b one gets their thumb pointing into the screen,a1,arg49950,arg116211,arg49950_arg116211,rr,fbc0e44f7a13d74f6016c9b1877f27,-1
116,into the screen! into the screen! into the screen!,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116220,arg49950,arg116220_arg49950,rr,8c862c6cf099b8e864f67832dc00e0,1
117,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Into the screen.,a1,arg49950,arg116249,arg49950_arg116249,rr,853d76e4fed364ec714932ca6ad13d,-1
118,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116263,arg49950,arg116263_arg49950,wr,6b635dd6cd623243e42c39297d2622,1
119,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ","Using the RHR, the magnetic field points into the page.",a1,arg49950,arg116265,arg49950_arg116265,rr,36a947e102f9902556c7a044125717,-1
120,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116280,arg49950,arg116280_arg49950,rr,8e2d4f5b0f20ff8fd897f96b5a5296,1
121,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg116323,arg49950_arg116323,rr,9f492314b2e6cff49578c6f468bd82,-1
122,qqqq,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116345,arg49950,arg116345_arg49950,rr,1fb9b74d4e8887408717fad6e3168f,1
123,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Using the right hand rule,a1,arg49950,arg116363,arg49950_arg116363,rr,46f7dec877da3cbb519c76e3a261db,-1
124,Another use of the right hand rule. The right hand must be turned so that the thumb points inward to the screen.,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116427,arg49950,arg116427_arg49950,rr,22f3826b9cceb8a274bbf38c82b40a,1
125,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Right hand rule,a1,arg49950,arg116449,arg49950_arg116449,rr,7a75c18e543c44ba363a19a5c622a3,-1
126,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116457,arg49950,arg116457_arg49950,rr,a20c9d318b9c8c90165018c0174fe4,1
127,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",Left hand rule,a1,arg49950,arg116497,arg49950_arg116497,rr,df47942b1dee3230cf65e14cc0b36b,-1
128,The direction of the magnetic force on the wire is into the screen,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116506,arg49950,arg116506_arg49950,rr,085250d34b53f159a49a6e4e5c5729,1
129,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",.........,a1,arg49950,arg116560,arg49950_arg116560,rr,f8c7fdff3431ded4c53133b176ca23,-1
130,formula,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116582,arg49950,arg116582_arg49950,rr,ad2a70906eb5ddc27c8efcdfc996ec,1
131,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",From right hand rule,a1,arg49950,arg116585,arg49950_arg116585,rr,571883632e2ac18d5fc882fc6d5ea2,-1
132,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116592,arg49950,arg116592_arg49950,rr,89fa1bf80aed62bec451014dc7d89c,1
133,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",the force is upwards,a1,arg49950,arg116615,arg49950_arg116615,wr,a1a685f0d53ec633203b55df90ed26,-1
134,RHR is used to find direction,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116632,arg49950,arg116632_arg49950,rr,09a08da351018ea56d989a6e8368ed,1
135,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",RHR2,a1,arg49950,arg116639,arg49950_arg116639,rr,f459fc7f37bdaf7ca27c926f49c0d4,-1
136,right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116648,arg49950,arg116648_arg49950,rr,4ce57e5136c79941bc33f5c261b296,1
137,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",RHR2,a1,arg49950,arg116659,arg49950_arg116659,wr,ec0189ff95b6f549c8f38fad9269a9,-1
138,gfdff,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116663,arg49950,arg116663_arg49950,rr,eacecc5129fbad5ca8d8209f2601c2,1
139,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",right hand rule,a1,arg49950,arg116671,arg49950_arg116671,rr,37289dfaf13ebcb7d2b4785d866976,-1
140,Because,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116688,arg49950,arg116688_arg49950,rr,d5eb5dfb2a8414d37f027f3165e4f1,1
141,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",rule,a1,arg49950,arg116720,arg49950_arg116720,rr,d6ee1d0eeff6873dc3e828669c2bff,-1
142,Right hand rule,"Following the convention of the right hand rule, thumb following I and index following B, we see that the force F points into the screen. ",a2,arg116730,arg49950,arg116730_arg49950,rr,0bd6cad07a3440f2120798f5cdc985,1
