,a1,a2,label,a1_id,a2_id,#id,transition,annotator,y
14,"For a diploid organism, If it has the same allele, it is homozygous. If it has the different allele, it is heterozygous","Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg186276,arg184891,arg186276_arg184891,rr,8c97974493a339b154793e66c496ec,1
15,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Heterozygous definition is two different alleles for a single gene/trait,a1,arg184891,arg188169,arg184891_arg188169,rr,9e82f1cfc19362f43059262bd60c71,-1
16,An individual with two different alleles for a gene is said to be polygenic,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg188526,arg184891,arg188526_arg184891,wr,952ae695c640959f3a2334bdeaac86,1
17,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Hetero means different and zygous refers to the alleles of the gametes forming the zygote.,a1,arg184891,arg188950,arg184891_arg188950,rr,592fc00b3b1b981451fd473fe8691a,-1
18,An individual with two different alleles for a gene is said to be heterozygous. Its a definition.,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg189123,arg184891,arg189123_arg184891,rr,1182fd51f65265d9fa0f215476622e,1
19,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.","An individual can either be homozygous recessive, dominant or heterozygous.",a1,arg184891,arg189551,arg184891_arg189551,rr,cc7c4a9e7355ec3ed89d427e1acd92,-1
20,I love you I love youI love youI love youI love youI love youI love youI love youI love youI love youI love you,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg189645,arg184891,arg189645_arg184891,rr,11f1a8875488de92d068d9568ca86d,1
21,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",the definition of heterozygous is a genotype with two different alleles,a1,arg184891,arg190894,arg184891_arg190894,rr,6faf803c719243718e98e8e184acb0,-1
22,By definition heterozygous is having different alleles for a particular gene,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg191243,arg184891,arg191243_arg184891,rr,f0d5d7cc1bb3645de472a5aa1cb5d4,1
23,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.","since they have different alleles for a gene, its called heterozygous one",a1,arg184891,arg191308,arg184891_arg191308,rr,7d74aafc6f4143740a99ce570485df,-1
24,"This is the definition of ""heterozygous"" so I chose B","Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg194368,arg184891,arg194368_arg184891,rr,71436a235a5e666912bdddf4b698cf,1
25,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Heterozygous means that two different alleles are present in the gene.,a1,arg184891,arg194531,arg184891_arg194531,rr,a93ead596d3e93cc7c3baf70527825,-1
26,Which of the following crosses would always result in offspring that only display the dominant phenotype?,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg194888,arg184891,arg194888_arg184891,rr,b7df7271f31c316697bac696957a39,1
27,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Because that is its definition whereas homozygous is 2 same alleles.,a1,arg184891,arg195126,arg184891_arg195126,rr,eb673e1b8e90d9fa6bbb7291120bab,-1
28,hemizgous is where they have one gene where they should have two like dude have xy not xx they are hemi for x,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg195233,arg184891,arg195233_arg184891,rr,eb8dc012d0575cf565fab1618b6af0,1
29,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Two different alleles meaning one dominant and one recessive so heterozygous,a1,arg184891,arg195334,arg184891_arg195334,rr,39cf2d64b119ff9a4488d61951bb29,-1
30,Heterozygous means two distinct alleles. Homozygous means two same alleles.,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg198436,arg184891,arg198436_arg184891,rr,853d76e4fed364ec714932ca6ad13d,1
31,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",heterozygous means having two different alleles for a given gene.,a1,arg184891,arg203424,arg184891_arg203424,rr,2810d543fe5fecbfc494e02a0451fb,-1
32,heterozygous means that an individual carries two different variations of a chromosome,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg206376,arg184891,arg206376_arg184891,rr,7cdc3e9791d9698ad1152794be8957,1
33,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",because because because because because because because because because because because because because because because because,a1,arg184891,arg207380,arg184891_arg207380,rr,d06aa0c42a6cda530fd34d24ff1133,-1
34,Definition of heterozygous. Homozygous is when an individual has two of the same alleles for a gene.,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg208506,arg184891,arg208506_arg184891,rr,bf9c688799bd0587f7eabab4295383,1
35,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",it is heterozygous because it includes two different alleles .,a1,arg184891,arg211607,arg184891_arg211607,rr,0dd25bf4271022a430f458130d935a,-1
36,that is the definition of a heterozygote; it has 2 DIFFERENT alleles,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg213671,arg184891,arg213671_arg184891,rr,26af106772f769f1f9fc8c0ac88e8a,1
37,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.","An individual with two different alleles for a gene is said to be


A. polygenic

B. heterozygous

C. hemizygous

D. homozygous",a1,arg184891,arg214264,arg184891_arg214264,rr,c182e01377768877871d4e31b0bf11,-1
38,heterozygotes inherit different forms (alleles) of a particular gene from each parent,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg222992,arg184891,arg222992_arg184891,rr,2de9909ff87809046a3fe88fcd465e,1
39,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Yes that's the corresponding term this is so simple god don't give me this depth thing.,a1,arg184891,arg223865,arg184891_arg223865,rr,dcc4147a5c461bb23c8f37dfd85e77,-1
40,The alternate forms of a gene on homologous chromosomesThe alternate forms of a gene on homologous chromosomes,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg227051,arg184891,arg227051_arg184891,rr,81321f84bd424d3514ec0ab2c0aca2,1
41,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",The alternate forms of a gene on homologous chromosomes are called,a1,arg184891,arg230278,arg184891_arg230278,rr,109f3a77e93e4859f50c02f7a8a122,-1
42,An individual with two different alleles for a gene is said to be a heterozygous,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg233530,arg184891,arg233530_arg184891,rr,230acc8039bba8b70b977c31312c95,1
43,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.","hetero-different, so if there are two different alleles its called heterozygous",a1,arg184891,arg233666,arg184891_arg233666,rr,63cfe7cedfd65323fd90d9cb2cf04b,-1
44,"Homozygous is the same allele for the same gene, heterozygous, by definition, is the answer.","Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg237834,arg184891,arg237834_arg184891,rr,9d0546d0b7aa6c3969bf6f51e13b40,1
45,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",In the parental generation there is a recessive parent and a dominant parent. The F1 generation is heterogeneous purple. These are the parents of F2 generation.,a1,arg184891,arg238301,arg184891_arg238301,rr,30cf3bab881f2520b066ce70779c07,-1
46,"An individual with two different alleles for a gene is said to be

B","Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg238502,arg184891,arg238502_arg184891,rr,fffa2c73508a730ac92fa9c1510bdd,1
47,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",heterozygous means two dif version of same gene let me submitttttt,a1,arg184891,arg239232,arg184891_arg239232,rr,37dc95a2810c253548122ab8e5daec,-1
48,"Which of the following represents a test cross?


A. Ww x WW

B. ww x WW

C. Ww x Ww

D. WW x WW","Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg239305,arg184891,arg239305_arg184891,rr,3cb1bcf49a5156777764cd4cade4e0,1
49,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",heterozygous means one dominant allele and one recessive allele (2 different),a1,arg184891,arg240515,arg184891_arg240515,rr,88ab03177a3205bd92843d6c8f64e3,-1
50,"this is the definition of heterozygous , having two different alleles for a gene instead of the same allele","Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg242358,arg184891,arg242358_arg184891,rr,d1f0930d280b954c8be1683bc330ba,1
51,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",Since each child of two heterozygous parents has a 1/4 chance of receiving a recessive trait from each parent,a1,arg184891,arg242562,arg184891_arg242562,rr,4f317126c5644e93399653d41dce4a,-1
52,yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes yes,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.",a2,arg242863,arg184891,arg242863_arg184891,rr,f1054d64539a06d2119d8e421e5575,1
53,"Polygenic=multiple genes, homozygous=2 of the same allele, hemizygous=missing allele; heterozygous individuals have different alleles for one gene.","If an individual with a dominant phenotype is crossed with an individual with a recessive phenotype, 4 of their 9 offspring show the recessive phenotype. What is the genotype of the parent showing the dominant trait?",a1,arg184891,arg244981,arg184891_arg244981,rr,ef19782cf9333eb6a5a608a66790e2,-1
